
, , , 
date, Inflation Rate (%), Annual Change, 
1960-12-31,1.458
1961-12-31,1.0707,-0.39
1962-12-31,1.1988,0.13
1963-12-31,1.2397,0.04
1964-12-31,1.2789,0.04
1965-12-31,1.5852,0.31
1966-12-31,3.0151,1.43
1967-12-31,2.7728,-0.24
1968-12-31,4.2718,1.5
1969-12-31,5.4624,1.19
1970-12-31,5.8383,0.38
1971-12-31,4.2928,-1.55
1972-12-31,3.2723,-1.02
1973-12-31,6.1778,2.91
1974-12-31,11.0548,4.88
1975-12-31,9.1431,-1.91
1976-12-31,5.7448,-3.4
1977-12-31,6.5017,0.76
1978-12-31,7.631,1.13
1979-12-31,11.2545,3.62
1980-12-31,13.5492,2.29
1981-12-31,10.3347,-3.21
1982-12-31,6.1314,-4.2
1983-12-31,3.2124,-2.92
1984-12-31,4.3005,1.09
1985-12-31,3.5456,-0.75
1986-12-31,1.898,-1.65
1987-12-31,3.6646,1.77
1988-12-31,4.0777,0.41
1989-12-31,4.827,0.75
1990-12-31,5.398,0.57
1991-12-31,4.235,-1.16
1992-12-31,3.0288,-1.21
1993-12-31,2.9517,-0.08
1994-12-31,2.6074,-0.34
1995-12-31,2.8054,0.2
1996-12-31,2.9312,0.13
1997-12-31,2.3377,-0.59
1998-12-31,1.5523,-0.79
1999-12-31,2.188,0.64
2000-12-31,3.3769,1.19
2001-12-31,2.8262,-0.55
2002-12-31,1.586,-1.24
2003-12-31,2.2701,0.68
2004-12-31,2.6772,0.41
2005-12-31,3.3927,0.72
2006-12-31,3.2259,-0.17
2007-12-31,2.8527,-0.37
2008-12-31,3.8391,0.99
2009-12-31,-0.3555,-4.19
2010-12-31,1.64,2
2011-12-31,3.1568,1.52
2012-12-31,2.0693,-1.09
2013-12-31,1.4648,-0.6
2014-12-31,1.6222,0.16
2015-12-31,0.1186,-1.5
2016-12-31,1.2616,1.14
2017-12-31,2.1301,0.87
2018-12-31,2.4426,0.31
2019-12-31,1.8122,-0.63
2020-12-31,1.2336,-0.58
2021-12-31,4.6979,3.46
2022-12-31,8.0028,3.3
